company,drug_name,submission_type,submission_number,submission_status,submission_status_date,submission_class_code
LUPIN PHARMS,DESLORATADINE,ORIG,1,AP,20101025,
LUPIN PHARMS,DESLORATADINE,SUPPL,7,AP,20191022,LABELING
LUPIN PHARMS,DESLORATADINE,SUPPL,5,AP,20191022,LABELING
AIPING PHARM INC,LAMOTRIGINE,SUPPL,12,AP,20220118,LABELING
AIPING PHARM INC,LAMOTRIGINE,SUPPL,10,AP,20220118,LABELING
AIPING PHARM INC,LAMOTRIGINE,SUPPL,7,AP,20150218,LABELING
AIPING PHARM INC,LAMOTRIGINE,SUPPL,1,AP,20110929,LABELING
AIPING PHARM INC,LAMOTRIGINE,SUPPL,11,AP,20220118,LABELING
AIPING PHARM INC,LAMOTRIGINE,ORIG,1,AP,20090127,
CHARTWELL RX,IRINOTECAN HYDROCHLORIDE,ORIG,1,AP,20100415,
CHARTWELL RX,IRINOTECAN HYDROCHLORIDE,SUPPL,1,AP,20110314,LABELING
DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,SUPPL,3,AP,20060131,LABELING
DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,SUPPL,1,AP,20050517,LABELING
DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,SUPPL,4,AP,20140718,LABELING
DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,SUPPL,2,AP,20050517,LABELING
DR REDDYS LABS INC,NEFAZODONE HYDROCHLORIDE,ORIG,1,AP,20030916,
HIKMA,FENOLDOPAM MESYLATE,ORIG,1,AP,20041012,
HIKMA,FENOLDOPAM MESYLATE,SUPPL,7,AP,20110330,LABELING
NATCO PHARMA,OLANZAPINE,SUPPL,9,AP,20230808,LABELING
NATCO PHARMA,OLANZAPINE,SUPPL,7,AP,20230808,LABELING
NATCO PHARMA,OLANZAPINE,SUPPL,5,AP,20230808,LABELING
NATCO PHARMA,OLANZAPINE,SUPPL,3,AP,20150925,LABELING
NATCO PHARMA,OLANZAPINE,ORIG,1,AP,20120423,
NATCO PHARMA,OLANZAPINE,SUPPL,6,AP,20230808,LABELING
NATCO PHARMA,OLANZAPINE,SUPPL,4,AP,20150925,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,10,AP,20140819,REMS
SPECGX LLC,FENTANYL-75,SUPPL,39,AP,20241031,REMS
SPECGX LLC,FENTANYL-75,ORIG,1,AP,20110209,
SPECGX LLC,FENTANYL-75,SUPPL,37,AP,20231215,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,29,AP,20231208,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,35,AP,20231215,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,8,AP,20140616,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,19,AP,20200506,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,6,AP,20130415,REMS
SPECGX LLC,FENTANYL-75,SUPPL,25,AP,20200506,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,17,AP,20170526,REMS
SPECGX LLC,FENTANYL-75,SUPPL,23,AP,20200506,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,2,AP,20150611,MANUF (CMC)
SPECGX LLC,FENTANYL-75,SUPPL,21,AP,20200506,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,11,AP,20150626,REMS
SPECGX LLC,FENTANYL-75,SUPPL,5,AP,20120709,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,24,AP,20200506,LABELING
SPECGX LLC,FENTANYL-75,SUPPL,16,AP,20160930,REMS
SPECGX LLC,FENTANYL-75,SUPPL,3,AP,20120709,REMS
SPECGX LLC,FENTANYL-75,SUPPL,20,AP,20180918,REMS
SPECGX LLC,FENTANYL-75,SUPPL,12,AP,20160420,REMS
DR REDDYS LABS LTD,NATEGLINIDE,SUPPL,1,AP,20150818,LABELING
DR REDDYS LABS LTD,NATEGLINIDE,SUPPL,6,AP,20230117,LABELING
DR REDDYS LABS LTD,NATEGLINIDE,SUPPL,4,AP,20181130,LABELING
DR REDDYS LABS LTD,NATEGLINIDE,ORIG,1,AP,20090909,
DR REDDYS LABS LTD,NATEGLINIDE,SUPPL,3,AP,20181130,LABELING
CARACO,LAMOTRIGINE,ORIG,1,TA,20071109,
IMPAX LABS,VENLAFAXINE HYDROCHLORIDE,ORIG,1,TA,20071016,
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,9,AP,19900731,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,7,AP,19880311,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,5,AP,19870213,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,16,AP,19970609,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,3,AP,19860109,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,14,AP,19921102,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,12,AP,19910207,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,10,AP,19900201,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,49,AP,20180628,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,55,AP,20250324,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,47,AP,20161215,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,53,AP,20250324,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,45,AP,20141121,LABELING
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,ORIG,1,AP,19830705,
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,8,AP,19890608,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,19,AP,20000912,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,17,AP,19970922,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,4,AP,19860109,MANUF (CMC)
ACTAVIS MID ATLANTIC,HYDROCODONE BITARTRATE AND HOMATROPINE METHYLBROMIDE,SUPPL,15,AP,19921102,MANUF (CMC)
